Day,Month,Term Used,Title,URL,Year,barbarian,barbaric,extremis,fanatic,fundamentalis,jihad,militant,murder,radical,refugee,terror,terrorism,terrorist,violence,violent
31,Jan.,False,Woman loses suit vs. sex-case pol,https://link.galegroup.com/apps/doc/A357238665/SPN.SP01?u=nypl&sid=SPN.SP01&xid=4594a1ba,2014,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
31,Jan.,True,Meet the New Pope-Same as the Old Pope,https://link.galegroup.com/apps/doc/A357238678/SPN.SP01?u=nypl&sid=SPN.SP01&xid=a84495e9,2014,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
28,Jan.,False,'Satanic' theft of pope relic,https://link.galegroup.com/apps/doc/A356890654/SPN.SP01?u=nypl&sid=SPN.SP01&xid=fd2f55f8,2014,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
28,Jan.,False,Reality star's SI pill bust,https://link.galegroup.com/apps/doc/A356890679/SPN.SP01?u=nypl&sid=SPN.SP01&xid=c15dd1ac,2014,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
27,Jan.,False,Hurrah for Alternatives,https://link.galegroup.com/apps/doc/A356786797/SPN.SP01?u=nypl&sid=SPN.SP01&xid=b1b52f48,2014,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
27,Jan.,True,Extreme-ly dumb [Exclusive] Gov's blunder to be GOP boon,https://link.galegroup.com/apps/doc/A356786809/SPN.SP01?u=nypl&sid=SPN.SP01&xid=127f8f6f,2014,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
25,Jan.,False,Where saints and sinners meet,https://link.galegroup.com/apps/doc/A356770784/SPN.SP01?u=nypl&sid=SPN.SP01&xid=56675a87,2014,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
24,Jan.,False,Subtle as a bad 'do,https://link.galegroup.com/apps/doc/A356432802/SPN.SP01?u=nypl&sid=SPN.SP01&xid=cbff271c,2014,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
24,Jan.,True,Shock over my 'killer' parents,https://link.galegroup.com/apps/doc/A356432842/SPN.SP01?u=nypl&sid=SPN.SP01&xid=0a0cbf9c,2014,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
23,Jan.,True,Slamming Conservatives: Gov's One-Way 'Tolerance',https://link.galegroup.com/apps/doc/A356356568/SPN.SP01?u=nypl&sid=SPN.SP01&xid=8c54d240,2014,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
23,Jan.,False,NYPD DAILY CRIME BLOTTER,https://link.galegroup.com/apps/doc/A356356601/SPN.SP01?u=nypl&sid=SPN.SP01&xid=1dcb9114,2014,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
20,Jan.,True,'Loot' loses value over time,https://link.galegroup.com/apps/doc/A356028505/SPN.SP01?u=nypl&sid=SPN.SP01&xid=17d34037,2014,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
14,Jan.,False,1st sitdown of Hizzoner & His Excellency Meeting is Blasio blessing,https://link.galegroup.com/apps/doc/A355546052/SPN.SP01?u=nypl&sid=SPN.SP01&xid=f6e26225,2014,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
12,Jan.,False,NYC's most 'wanted' Dating site reveals No. 1 eligible singles,https://link.galegroup.com/apps/doc/A355556093/SPN.SP01?u=nypl&sid=SPN.SP01&xid=0259b175,2014,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
10,Jan.,False,Ignorance is Chris Meet the gal with the gall,https://link.galegroup.com/apps/doc/A355233457/SPN.SP01?u=nypl&sid=SPN.SP01&xid=c2402954,2014,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
10,Jan.,False,NYPD DAILY CRIME BLOTTER,https://link.galegroup.com/apps/doc/A355233477/SPN.SP01?u=nypl&sid=SPN.SP01&xid=e610cb19,2014,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
9,Jan.,False,Oscar madness Rivals throw mud on award favorites,https://link.galegroup.com/apps/doc/A355120355/SPN.SP01?u=nypl&sid=SPN.SP01&xid=9b18b91f,2014,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
8,Jan.,False,ObamaCare Nun-sense: Prez Kicks the Habits,https://link.galegroup.com/apps/doc/A355017100/SPN.SP01?u=nypl&sid=SPN.SP01&xid=0ad9794c,2014,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
6,Jan.,False,Old enough to play the dad,https://link.galegroup.com/apps/doc/A354837589/SPN.SP01?u=nypl&sid=SPN.SP01&xid=57a33a94,2014,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
