Day,Month,Term Used,Title,URL,Year,barbarian,barbaric,extremis,fanatic,fundamentalis,jihad,militant,murder,radical,refugee,terror,terrorism,terrorist,violence,violent
30,Dec.,False,POSTSCRIPT Chatter,https://link.galegroup.com/apps/doc/A567843788/SPN.SP01?u=nypl&sid=SPN.SP01&xid=1fcd3e91,2018,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
30,Dec.,True,Egypt kills 40 terrorists,https://link.galegroup.com/apps/doc/A567843841/SPN.SP01?u=nypl&sid=SPN.SP01&xid=5208994d,2018,False,False,True,False,False,False,True,False,False,False,True,False,True,True,False
29,Dec.,True,"Deadly pyramids scheme 3 Viet tourists, guide killed in Cairo blast",https://link.galegroup.com/apps/doc/A567829921/SPN.SP01?u=nypl&sid=SPN.SP01&xid=286e80a4,2018,False,False,True,False,False,True,True,False,False,False,False,False,False,True,False
29,Dec.,False,Hands Off This Hunk,https://link.galegroup.com/apps/doc/A567829930/SPN.SP01?u=nypl&sid=SPN.SP01&xid=0a04da43,2018,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
26,Dec.,False,All one family Pope: Embrace as brothers & sisters,https://link.galegroup.com/apps/doc/A567326400/SPN.SP01?u=nypl&sid=SPN.SP01&xid=1bc30f94,2018,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
24,Dec.,False,Alba's first is full of 'Bull',https://link.galegroup.com/apps/doc/A566992107/SPN.SP01?u=nypl&sid=SPN.SP01&xid=15dd7d83,2018,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
23,Dec.,False,POSTSCRIPT A lover & a fighter Winston Churchill proved that a political enemy could also be a friend,https://link.galegroup.com/apps/doc/A566992170/SPN.SP01?u=nypl&sid=SPN.SP01&xid=15dd7d83,2018,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
22,Dec.,False,Pulling Troops Out of Syria: Trump's Unexpected Order,https://link.galegroup.com/apps/doc/A566669910/SPN.SP01?u=nypl&sid=SPN.SP01&xid=03045dde,2018,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
19,Dec.,False,More of the Roses 'Schitt's Creek' family returns for the night with a holiday special on Pop,https://link.galegroup.com/apps/doc/A566265665/SPN.SP01?u=nypl&sid=SPN.SP01&xid=bd6ba05f,2018,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
18,Dec.,False,'Love and dancing' for Kim,https://link.galegroup.com/apps/doc/A566121754/SPN.SP01?u=nypl&sid=SPN.SP01&xid=1ba861b6,2018,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
