Day,Month,Term Used,Title,URL,Year,barbarian,barbaric,extremis,fanatic,fundamentalis,jihad,militant,murder,radical,refugee,terror,terrorism,terrorist,violence,violent
27,Dec.,False,FAST TAKES,https://link.galegroup.com/apps/doc/A567429346/SPN.SP01?u=nypl&sid=SPN.SP01&xid=d9bd1b27,2018,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
26,Dec.,False,Don honors Khans' son,https://link.galegroup.com/apps/doc/A567326382/SPN.SP01?u=nypl&sid=SPN.SP01&xid=de313f08,2018,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
26,Dec.,True,FAST TAKES,https://link.galegroup.com/apps/doc/A567326416/SPN.SP01?u=nypl&sid=SPN.SP01&xid=11c580f1,2018,False,False,True,False,False,False,False,False,False,False,True,False,True,False,False
24,Dec.,False,NY Muslims' security patrol,https://link.galegroup.com/apps/doc/A566992111/SPN.SP01?u=nypl&sid=SPN.SP01&xid=5a9ec73b,2018,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
19,Dec.,False,Sex-talk boss: suit,https://link.galegroup.com/apps/doc/A566265606/SPN.SP01?u=nypl&sid=SPN.SP01&xid=8a85597c,2018,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
18,Dec.,False,Conspiracy Theories In Strange Places,https://link.galegroup.com/apps/doc/A566121697/SPN.SP01?u=nypl&sid=SPN.SP01&xid=fd85809a,2018,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
14,Dec.,False,Tragic end to dreams Hundreds at funeral for slain Bravest,https://link.galegroup.com/apps/doc/A565612161/SPN.SP01?u=nypl&sid=SPN.SP01&xid=6c534f58,2018,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
9,Dec.,False,New Trump loss in 9th,https://link.galegroup.com/apps/doc/A565078452/SPN.SP01?u=nypl&sid=SPN.SP01&xid=b92d72df,2018,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
7,Dec.,False,18 years for hate bombs,https://link.galegroup.com/apps/doc/A564618539/SPN.SP01?u=nypl&sid=SPN.SP01&xid=00299854,2018,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
4,Dec.,True,Politicking While Muslim,https://link.galegroup.com/apps/doc/A564232475/SPN.SP01?u=nypl&sid=SPN.SP01&xid=776e9f3a,2018,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False
